Local,Trabalho,Título,Autores/Orientadores
Centro de Ciencias Juridicas e Economicas,5491,ELEIÇÕES INDIRETAS E CONTROLE POLÍTICO NA DITADURA MILITAR BRASILEIRA AUTORES E,"CLAUDIA PAIVA CARVALHO,NATALIA PIRES DA COSTA"
Centro de Ciencias Juridicas e Economicas,6097,"O mercado de trabalho segundo as atividades econômicas na Região Metropolitana do Rio de Janeiro, entre os anos 2019−2023","JOÃO GABRIEL DA SILVA PIRES DE MÉLO,MARCELO GOMES RIBEIRO"
Centro de Ciencias Juridicas e Economicas,1039,BIBLIOTECÁRIOS S.A.: DESMITIFICANDO O 'MONSTRO' DO SILÊNCIO NAS BIBLIOTECAS AUTORES E,"GABRIEL GONCALVES BAPTISTA,MARIA ANTONIA DA SILVA DE JESUS,MARIA EDUARDA SILVA DE LIMA,MARIANNA ZATTAR"
Centro de Ciencias Juridicas e Economicas,1765,Indexação social na plataforma AO3 (Archive of Our Own),"JULIANA HORTA DE ASSIS PINTO,MARIANA LOPES ALVES"
Centro de Ciencias Juridicas e Economicas,3349,EDUCAÇÃO EM INFORMAÇÃO NO COMBATE À DESINFORMAÇÃO: UM VIÉS AVALIATIVO AUTORES E,"GISELLE MACIEIRA PAES,JONAS VIANNA DO AMARAL BERMOND NATAL,MARIANNA ZATTAR,NYSIA OLIVEIRA DE Sá,WESLLEY FERREIRA ARAUJO"
Centro de Ciencias Juridicas e Economicas,4882,CONSTRUÇÃO DE UM TESAURO PARA A REVISTA TÉCNICA DA UNIVERSIDADE PETROBRAS: UMA PROPOSTA DE PADRONIZAÇÃO TERMINOLÓGICA,"ANNA CAROLLINA AFFONSO VIEIRA DOS PASSOS SOARES,JULIANA HORTA DE ASSIS PINTO"
Centro de Ciencias Juridicas e Economicas,6266,MÍDIAS SOCIAIS E ÉTICA DA INFORMAÇÃO: AÇÕES DE COMPETÊNCIA EM INFORMAÇÃO NA PROMOÇÃO DA ÉTICA,"FELIPE DOS SANTOS DA COSTA,LUIZA BUCARD FERREIRA DOS SANTOS,MARIA THERESA BELISARIO COSMO,MARIANNA ZATTAR,WESLLEY FERREIRA ARAUJO"
Centro de Ciencias Juridicas e Economicas,6530,A representação feminina no universo de Game Of Thrones: a partir do Tesauro de Gelo e Fogo AUTORES E,"GIOVANNA VALENTINI PAIVA,JULIANA HORTA DE ASSIS PINTO"
Centro de Ciencias Juridicas e Economicas,6740,UM ESTUDO SOBRE A COMPETÊNCIA EM INFORMAÇÃO EM SAÚDE,"MARIANNA ZATTAR,THAMMYRIS BEATRIZ NANTES GARRIDO"
Centro de Ciencias Juridicas e Economicas,2717,TECNOLOGIA COMO CATALISADORA DAS MUTAÇÕES CONSTITUCIONAIS,"CARLOS BOLONHA,DANIEL CAPECCHI,GIOVANNA SANTOS,LíGIA MINELLI MARTINS"
Centro de Ciencias Juridicas e Economicas,3056,O IMPACTO CRESCENTE DAS REDES SOCIAIS NAS ELEIÇÕES BRASILEIRAS.,"CARLOS BOLONHA,DANIEL CAPECCHI,JOAO MANOEL NASCIMENTO CORREIA"
Centro de Ciencias Juridicas e Economicas,3188,SILENCIAMENTO DIGITAL: A AUSÊNCIA DE REGULAÇÃO JURÍDICA SOBRE A SUSPENSÃO E EXPULSÃO DE CONTAS DE CANDIDATOS POR BIG TECHS DURANTE O PERÍODO ELEITORAL.,"CARLOS BOLONHA,DANIEL CAPECCHI,LETICIA CRISTINA OLIVEIRA SANTOS"
Centro de Ciencias Juridicas e Economicas,3597,A Teoria do Discurso na Era Digital: Impactos Políticos e Sociais da Argumentação Online para a Democracia Contemporânea,"ANA CAROLINA ROZA GUIMARãES,ANA LUISA FERREIRA VITAL,CARLOS BOLONHA,DANIEL CAPECCHI,MARCELLE GENERINE CUPERTINO DA SILVA"
Centro de Ciencias Juridicas e Economicas,5654,A digitalização como ameaça ao constitucionalismo após a pandemia da Covid−19,"CARLOS BOLONHA,DANIEL CAPECCHI,GABRIEL MARREIROS GUARCONI"
Centro de Ciencias Juridicas e Economicas,5687,O Princípio do Contraditório em Tribunais Tecnológicos: Percepções de Justiça Processual AUTORES E,"CARLOS BOLONHA,DANIEL CAPECCHI,ERIK AMIL EMRICK Pôster Virtual. E-Poster Ciências Contábeis | PEX.EXT.UNI.EPO.1089"
Centro de Ciencias Juridicas e Economicas,3303,QUALIDADE DA INFORMAÇÃO CONTÁBIL PÓS−IFRS NO BRASIL − 15 ANOS (2010−2024) AUTORES E,"JEAN VITOR RODRIGUES BESSA,MARCELO ALVARO DA SILVA MACEDO"
Centro de Ciencias Juridicas e Economicas,3351,O PRINCÍPIO DA AMPLA DEFESA NOS PROCESSOS ADMINISTRATIVOS: UMA ANÁLISE JURISPRUDENCIAL DAS DECISÕES DO STF,"DANIEL CAPECCHI,JULIA SANTIN"
Centro de Ciencias Juridicas e Economicas,3462,COLETA DE DADOS E SOBERANIA DIGITAL: UM DESAFIO URGENTE PARA O ESTADO BRASILEIRO AUTORES E,"CARLOS BOLONHA,CAUAN SANTOS DA SILVA,DANIEL CAPECCHI"
Centro de Ciencias Juridicas e Economicas,4524,Uma análise do comportamento dos Tribunais Superiores (STJ e STF) na anulação ou não de provas com base no princípio constitucional da inviolabilidade de domicílio,"LEONARDO GOMES CHIANCA,LUIGI BONIZZATO"
Centro de Ciencias Juridicas e Economicas,3510,"O SIMBOLISMO DOS VAGALUMES E A FRAGILIDADE DA VIDA: UMA ANÁLISE DE ""TÚMULO DOS VAGALUMES"" NO CONTEXTO DA SEGUNDA GUERRA MUNDIAL","HENRIQUE PAIVA,LAIS SIMOES LIMA"
Centro de Ciencias Juridicas e Economicas,3766,CICATRIZES DA EXCLUSÃO: VIOLÊNCIA E MARGINALIZAÇÃO SOCIAL NO CINEMA BRASILEIRO CONTEMPORÂNEO,"HENRIQUE PAIVA,LUCAS ALMEIDA DOS SANTOS"
Centro de Ciencias Juridicas e Economicas,4371,"PLANETA DOS MACACOS: UM DEBATE SOBRE TRANSUMANISMO, BIOÉTICA E FICÇÃO CIENTÍFICA AUTORES E","HENRIQUE PAIVA,JOAO PEDRO GOMES MONTEIRO LOPES"
Centro de Ciencias Juridicas e Economicas,6341,THE PIANIST: O ESTERTOR DA MORTE E CHOPIN,"BARBARA THAFFNS SOUZA SILVA,HENRIQUE PAIVA"
Centro de Ciencias Juridicas e Economicas,6513,O cinema chinês de guerra moderno e suas visões de mundo,"ARTUR BARCELOS SANTOS FERNANDES,HENRIQUE PAIVA"
Centro de Ciencias Juridicas e Economicas,3776,"BRASIL EM CENA: CINEMA, POLÍTICA E REPRESENTAÇÕES INTERNACIONAIS NOS FILMES BRASILEIROS INDICADOS AO OSCAR.","LARISSA ROSEVICS,LUCAS ALMEIDA DOS SANTOS"
Centro de Ciencias Juridicas e Economicas,5131,Os gargalos para o desenvolvimento brasileiro no século XXI: uma análise pela ótica da geopolítica AUTORES E,"BERNARDO SALGADO RODRIGUES,ERIC PORTO MORENO"
Centro de Ciencias Juridicas e Economicas,5539,DO IMPÉRIO AO COOL JAPAN: A TRANSFORMAÇÃO DO PODER JAPONÊS DO HARD POWER IMPERIAL AO SOFT POWER CULTURAL,"BERNARDO SALGADO RODRIGUES,CAROLINE DOS SANTOS MARQUES"
Centro de Ciencias Juridicas e Economicas,6483,A NOVA CONJUNTURA MIGRATÓRIA EUROPEIA E SEUS IMPACTOS SOCIAIS A PARTIR CONFLITOS CONTEMPORÂNEOS,"BERNARDO SALGADO RODRIGUES,ELIS J O CASSAB,MARCO ANDRÉ CORRÊA CHEBLE"
Centro de Ciencias Juridicas e Economicas,6687,CONTRA−HEGEMONIA GLOBAL: A DIPLOMACIA CULTURAL COMO INSTRUMENTO AUTORES E,"LARISSA ROSEVICS,RAFAEL LINS TEIXEIRA"
Centro de Ciencias Juridicas e Economicas,3661,PODER POLÍTICO E O CAPITAL FINANCEIRO EM TEMPO DE ASCENSÃO DA EXTREMA DIREITA: BRASIL E ESTADOS UNIDOS PÓS CRISE DE 2008,"ELIDIO ALEXANDRE BORGES MARQUES,GABRIEL SOUZA BRUNI"
Centro de Ciencias Juridicas e Economicas,4696,"O PROJETO AMBIENTAL DA EXTREMA−DIREITA: TRUMPISMO, NEGACIONISMO CLIMÁTICO E RESISTÊNCIAS CULTURAIS","ELIDIO ALEXANDRE BORGES MARQUES,ERICA COSTA CAETANO,GIOVANNA AKEMI IGA FORNAZIERO,KENZO BRITES YAMAGUTI,LORENA ARAUJO DA SILVA,NICOLAS LOPES DINIZ,RAFAELA CRISTINA DA ROCHA VAZ"
Centro de Ciencias Juridicas e Economicas,4841,"ARGENTINA: MOVIMENTOS DE RESISTÊNCIA ÀS MEDIDAS ULTRALIBERAIS, UM ESFORÇO DE MAPEAMENTO E COMPREENSÃO","ARIANE DA COSTA SOARES DE FARIAS,BIANCA FERREIRA LIMA PINHEIRO,CAROLINE DE ANDRADE BUNHEIRAO,ELIDIO ALEXANDRE BORGES MARQUES,PALOMA MORAIS CARDOSO,PAULO GABRIEL FERREIRA MORAES"
Centro de Ciencias Juridicas e Economicas,5176,ASCENSÃO DA EXTREMA DIREITA: UMA RECLUSA CONTRACORRENTE NO MÉXICO AUTORES E,"CAIO FERNANDES DA COSTA E SILVA ,ELIDIO ALEXANDRE BORGES MARQUES,GABRIEL LUIZ MARTINS DE SOUZA,GABRIEL NICOLITCHI GALLEGO,JúLIO PISANI GUIRALDO,MATEUS DAS NEVES POLICARPO"
