Local,Trabalho,Título,Autores/Participantes
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,3501,CAMUNDONGOS IL6 -/- COMO NOVO MODELO EXPERIMENTAL PARA O ESTUDO DA INFECÇÃO PELO ZIKV,"RENATA DE PAULA SOUZA,THAMYRES SILVA DE ALMEIDA,ANDRÉ ALVES DIAS,LUIZA HIGA,AMILCAR TANURI,JOÃO FRANCISCO GOMES NETO,ALBERTO NÓBREGA,MARIA BELLIO"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,1379,AVALIAÇÃO DA ATIVIDADE IN VITRO DE ANTIFÚNGICOS COMERCIAIS CONTRA ISOLADOS CLÍNICOS DE SPOROTHRIX BRASILIENSIS,"EMANUELLA MENEZES,LUANA PEREIRA BORBA-SANTOS,FABIANA MONTI,MARCONI RODRIGUES DE FARIAS,SONIA ROZENTAL"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,3099,AVALIAÇÃO DO POTENCIAL DE VIRULÊNCIA DE PERSISTERS DE S. PYOGENES ATRAVÉS DO MODELO DE CAENORHABDITIS ELEGANS,"ÚRSULA LOPEZ,BERNADETE TEIXEIRA FERREIRA CARVALHO"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,1244,IDENTIFICAÇÃO DE GENES CODIFICANTES ENVOLVIDOS NA BIOSSÍNTESE DE FOSFOLIPÍDIOS BIOATIVOS NO PROTOZOÁRIO TRYPANOSOMA CRUZI,"MANOEL FONSECA SANTOS OLIVEIRA,FELIPE COELHO,ANGELA HAMPSHIRE DE CARVALHO SANTOS LOPES"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,2987,CARACTERIZAÇÃO DE AMOSTRAS DE ENTEROCOCCUS RESISTENTES A AMINOGLICOSÍDEOS ISOLADAS DE PACIENTES HOSPITALIZADOS E AVES SILVESTRES NO RIO DE JANEIRO,"LUIZA TOMÉ MENDES,ANDRéA DE ANDRADE RANGEL DE FREITAS,LUCIA MARTINS TEIXEIRA"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,5514,CULTIVO E EXPANSÃO DE CÉLULAS B DO CENTRO GERMINATIVO PARA ESTUDO DO REPERTÓRIO GENÉTICO E DE ESPECIFICIDADES DE IMUNOGLOBULINAS,"LUCAS TOSTES COSTA VAZ,ANDRE MACEDO VALE,CECILIA BATAGLIOLI CAVAZZONI"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,3116,"O RECEPTOR DE EFEROCITOSE AXL CONTROLA O RECRUTAMENTO DE MACRÓFAGOS ALVEOLARES PARA AS MUCOSAS PULMONARES DURANTE A HOMEOSTASE, E REGULA A INFLAMAÇÃO PULMONAR","ANTONIA FERREIRA,MONIQUE DOS SANTOS LEANDRO,JULIA ECHARDT,MARIANA NASCIMENTO MACHADO,WALTER ZIN,KAMILA GUIMARÃES PINTO,ALESSANDRA D' ALMEIDA FILARDY"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,817,CO-EXPRESSÃO DOS FATORES DE TRANSCRIÇÃO KLF4 E BRN3B PARA GERAÇÃO DE NOVO DE CÉLULAS GANGLIONARES DA RETINA,"VIVIANE VALENÇA,MARIANA S SILVEIRA.,BEATRIZ CARDOSO DE TOLEDO,PEDRO LUCAS DOS SANTOS FRANÇA,MAURÍCIO ROCHA MARTINS,FRANCIANE FERREIRA"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,1638,INFLUÊNCIAS DO EXERCÍCIO FÍSICO NO PERCENTUAL DE LEUCÓCITOS EM MODELO ANIMAL DE DOENÇA DE PARKINSON,"MARCOS PAULO CONCEIÇÃO MENEZES,LUCAS DO AMARAL MARTINS,KARLA FERREIRA OLIVEIRA,WAGNER ANTÔNIO BARBOSA DA SILVA,LOUISE CAROLINE VITORINO,PAULA CHAVES DA SILVA,CLYNTON LOURENÇO CORREA,SILVANA ALLODI"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,709,PAPEL DA PROTEÍNA PRION CELULAR E DA LÂMINA BASAL NA ANGIOGÊNESE DO SISTEMA NERVOSO CENTRAL,"GABRIELLE CELINA ARAUJO,BÁRBARA GOMES DA ROSA,CATARINA DE MOURA ELIAS DE FREITAS"
